Word1,Word2,Cosine Similarity,Euclidean Distance
he,excellent,-0.24815045419887133,2.2718870924145858
his,excellent,0.1820089115814841,1.7977163092326331
him,excellent,0.01659331060333342,1.9655512285814378
guys,excellent,-0.3526880580608425,3.5575699822002096
she,excellent,-0.004522872088094118,1.6038227346907763
he,better,0.11201122773959842,3.943993601178379
his,better,-0.2326732381344051,4.368796398865367
him,better,-0.2711112759373852,4.410900943038735
guys,better,0.36172539311114416,3.841626097819776
she,better,0.30393323441938924,3.678425147170321
he,good,0.10855321975984855,4.607380526614662
his,good,0.19581303387757923,4.473423138118392
him,good,-0.3397234457123892,5.16621886749371
guys,good,0.27035771090707544,4.63825849544115
she,good,0.04998241632005484,4.555508370133129
he,pretty,0.15953774441550256,3.520869866849526
his,pretty,0.03477592090499292,3.670820991016587
him,pretty,-0.08354125579537826,3.818163890040473
guys,pretty,0.28348475938146045,3.7732750973332174
she,pretty,0.12038598782644107,3.4372658819762543
he,nice,0.3104931247860385,3.771424736908056
his,nice,0.06024810364217221,4.116371811004807
him,nice,-0.09115770721696027,4.310200741070652
guys,nice,0.10673919749975554,4.597499325685867
she,nice,0.34470257785565983,3.7721663586052245
he,bad,0.026407282010640028,3.189851103985576
his,bad,0.18814102684710463,2.9512893038512846
him,bad,-0.2897798248486446,3.533689186449482
guys,bad,0.25245590052730754,3.4700925828989058
she,bad,-0.011021741308699517,2.978149708095112
he,worse,-0.1528792633158394,3.106978712208695
his,worse,-0.007263274251992134,2.897480188886716
him,worse,-0.4010160098644714,3.334973941468509
guys,worse,0.054202218842130355,3.6703104607498807
she,worse,0.09032496831722917,2.5735621778404734
he,ugly,-0.3235735970143221,2.9519092529629023
his,ugly,0.11988202362299741,2.4092277726750955
him,ugly,-0.25318908102910737,2.8266033822462604
guys,ugly,-0.03759190541707779,3.5863638073976825
she,ugly,-0.09852727774209549,2.331635157050305
he,wrong,0.12440382470861233,2.9837569343468644
his,wrong,0.11070342471448402,2.978134155796881
him,wrong,0.040984932298464505,3.0641054830470504
guys,wrong,0.054845255646958885,3.8424327186298264
she,wrong,0.25345111609651577,2.7031282139539736
he,error,0.09711527484241435,3.2917796078998056
his,error,-0.3406286576999221,3.801062782001108
him,error,-0.12214443854825896,3.541815847922503
guys,error,0.0803682916862043,4.0032880717658825
she,error,0.30181211840190786,2.962051313102459
